CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas
Boston,"West Village Quad, Northeastern University",,MA,US,2020-10-01,,,,,,,students,against construction of tent on campus green space,0,sit-in,,,,,1,1,https://huntnewsnu.com/63383/campus/students-stage-sit-in-to-protest-tent-construction-in-west-village-quad/,,,,
Buffalo,Buffalo Housing Court,,NY,US,2020-10-01,,,,,,,general protesters,for extension of eviction moratorium during coronavirus pandemic,0,protest,,,,,1,1,https://twitter.com/housing4allNY/status/1311648061660200961,,,,
Burlington,Battery Park,,VT,US,2020-10-01,,,,,,,general protesters,"against racism, against police violence, for police reform",1,occupation,,,,,1,1,https://www.vpr.org/post/protest-encampment-burlingtons-battery-park-packs#stream/0,,,,
Burlington,Skagit Speedway,,WA,US,2020-10-01,,,,,,,general protesters,for Republican gubernatorial candidate Loren Culp,2,rally,,,,,1,1,https://kgmi.com/news/007700-candidates-skagit-county-rally-draws-concern/,,,,
Carbondale,Catherine Store,,CO,US,2020-10-01,crowd of 60 or so,60,,60,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.aspendailynews.com/news/trump-rally-garners-mostly-positive-feedback-from-rush-hour-commuters/article_16e7396e-0914-11eb-8402-4b2cf6c0f4a9.html,,,,
Carter Lake,,,IA,US,2020-10-01,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.ketv.com/article/iowa-democrats-protest-vice-president-rally-supporters-praise-president-trump/34241916,,,Feat. Mike Pence,
Carter Lake,,,IA,US,2020-10-01,,,,,,,general protesters,"against President Trump, for Joe Biden",1,counter-protest,,,,,0,1,https://www.ketv.com/article/iowa-democrats-protest-vice-president-rally-supporters-praise-president-trump/34241916,,,,
Cary,Wake County Public School System headquarters,,NC,US,2020-10-01,about 200 people,200,,200,,,general protesters,for resumption of in-person schooling during coronavirus pandemic,0,rally,,,,,1,1,https://www.wral.com/coronavirus/parents-students-teachers-rally-for-return-to-in-class-learning-in-wake-county/19315854/,https://abc11.com/education/frustrated-parents-protest-outside-wake-schools-headquarters/6699499/,,,
Cedar Falls,,,IA,US,2020-10-01,count pic,100,,200,,,Racial and Ethnic Coalition,"against racism, against police violence",1,march,,,,,1,1,https://kwwl.com/2020/10/01/protesters-marching-in-cedar-falls/,,,,
Charleston,"Kroger, 5717 McCorkle Ave SE",,WV,US,2020-10-01,,,,,,,UFCW Local 400,for better wages and healthcare and safer workplace conditions during coronavirus pandemic for Kroger grocery store workers in West Virginia,0,car caravan,,,,,1,1,https://wvva.com/2020/10/01/local-kroger-workers-protesting-today/,,,,
Charlotte,First Ward Park to Romare Bearden Park,,NC,US,2020-10-01,dozens,24,,24,,,general protesters,"against racism, against police violence, for justice for Harold Easter",1,march,,,,,1,1,https://www.wsoctv.com/news/local/dozens-protest-uptown-over-death-harold-easter-while-cmpd-custody/UK2YSPMCUBENLDHQLQ3W6POQTA/,https://www.wcnc.com/article/news/local/harold-easter-protest-uptown-charlotte/275-a551cda0-f292-4c95-949f-48f24488ebcf,https://www.wbtv.com/2020/10/01/march-happening-after-cmpd-releases-video-moments-leading-harold-easters-death/,"Earlier in the day, police released video showing prelude to Easter's death.",
Charlotte,,,NC,US,2020-10-01,about one to two dozen people,12,,24,,,bar owners,"against Gov. Cooper's Phase 3 reopening order, for allowing bars to reopen during coronavirus pandemic",0,rally,,,,,0,1,https://www.wcnc.com/article/money/bar-owners-protest-north-carolina-phase-3-restriction-reopening-coronavirus/275-e42b5a11-c769-47de-a468-cdad07b54954,https://www.charlotteobserver.com/news/business/article246133075.html,,,
Chicago,"Canada Goose, 800 N Michigan Ave",,IL,US,2020-10-01,,,,,,,People for the Ethical Treatment of Animals,against fur and feather jackets,0,protest,,,,,1,1,https://www.peta.org/media/news-releases/canada-goose-to-face-bloody-peta-protest/,https://www.chicagotribune.com/lifestyles/fashion/ct-life-canada-goose-protest-chicago-1002-20201002-h4cmg4cjx5confqt2dpnkopm5m-story.html,,,
Chico,Chico City Hall,,CA,US,2020-10-01,a few hundred ,300,,300,,,general protesters,for reopening all schools and businesses in Butte County during coronavirus pandemic,0,rally,,,,,1,1,https://www.actionnewsnow.com/content/news/Community-members-gather-at-Chico-city-hall-for-reopening-rally-572609371.html,,,,
Clackamas,Clackamas Town Center,,OR,US,2020-10-01,dozens,24,,24,,,Clack to School,for resumption of in-person schooling during coronavirus pandemic,0,rally,,,,,1,1,https://www.kgw.com/article/news/education/clackamas-county-parents-rally-to-get-kids-back-in-school/283-f1de13fd-c1e4-477a-b26c-798be0522c6a,https://katu.com/news/local/parents-rally-to-get-kids-back-in-the-classroom,,,
Dover,Delaware Department of Education,,DE,US,2020-10-01,"about 100 parents, children, and others",100,,100,,,general protesters,for reopening Delaware schools for in-person classes during coronavirus pandemic,0,rally; protest,,,,,1,1,https://www.delawareonline.com/story/news/2020/10/02/delaware-parents-gop-candidates-rally-urge-carney-reopen-schools-full-time/5878371002/,https://www.facebook.com/events/420743025562587/,https://www.capegazette.com/article/residents-rally-school-reopen/210030,,
Gulfport,Jones Park to Harrison County Courthouse,,MS,US,2020-10-01,,,,,,,general protesters,"against racism, for police accountability and reform",1,march,,,,,1,1,https://www.wxxv25.com/2020/10/01/gulfport-residents-march-police-accountability/,,,,
Indianapolis,Indiana State House to Indianapolis City County Building,,IN,US,2020-10-01,,,,,,,Indiana Going Blue,"for police, against police reform",2,march,,,,,1,1,https://www.facebook.com/events/747312799175136/,,,,
Ithaca,Dewitt Park,,NY,US,2020-10-01,,,,,,,Ithaca Tenants Union,"against ""soft evictions"" and other predatory practices by landlords, for extension of eviction moratorium",0,protest; march,,,,,1,1,https://ithacavoice.com/2020/10/tenants-union-organizes-protest-against-soft-evictions-citing-local-landlords/,,,,
Klamath Falls,Klamath County Fairgrounds,,OR,US,2020-10-01,,,,,,,Klamath County Patriots,for reopening schools and businesses during coronavirus pandemic,2,protest,,,,,1,1,https://www.heraldandnews.com/news/local_news/klamath-county-residents-protest-covid-19-restrictions-at-maskless-gathering/article_0e040c44-b844-5d99-8e24-104dbc3735a8.html,,,Attended by local Republican politicians.,
Lansing,Michigan State Capitol,,MI,US,2020-10-01,,,,,,,general protesters,against domestic violence,0,rally,,,,,1,1,https://www.lenconnect.com/news/20200930/domestic-violence-rally-returns-to-state-capitol,,,,
Lebanon,Lebanon County Courthouse,,PA,US,2020-10-01,,,,,,,general protesters,"against child abuse, #savethechildren",0,rally; march,,,,,1,1,https://www.pennlive.com/crime/2020/10/demonstrators-to-rally-against-child-abuse-in-lebanon-county-after-12-year-olds-death.html,https://www.facebook.com/events/761130848009000/,,,
Los Angeles,Grand Park/Spring St,,CA,US,2020-10-01,,,,,,,ACCE Action; SAJE; Party for Socialism and Liberation; L.A. Voice; Downey Tenants Union,"against evictions, for cancelling rent during coronavirus pandemic",0,rally,,,,,1,1,https://www.facebook.com/events/347159793305852/,,,,
Medford,Tufts University,,MA,US,2020-10-01,,,,,,,general protesters,"against Confucius Institute at Tufts University, for human rights in China",0,march,,,,,1,1,https://tuftsdaily.com/news/2020/10/02/demonstrators-protest-confucius-institute-at-tufts-claim-it-advances-chinese-governments-agenda/,,,,
Midland,Northwood University,,IL,US,2020-10-01,just over 100 ,100,,100,,,Black Student Union,"against racism, against police violence",1,march,,,,,1,1,https://www.ourmidland.com/news/article/Racial-injustice-march-planned-for-Friday-in-15606771.php,https://www.ourmidland.com/news/article/Racial-injustice-march-brings-Northwood-15617063.php,,,
Milan,Village Square,,OH,US,2020-10-01,,2,,2,,,general protesters,against firing of town's fiscal officer in 2018,0,protest,,,,,1,1,https://sanduskyregister.com/news/280598/protesting-on-the-square/,,,,
Minnetonka,Minnetonka High School,,MN,US,2020-10-01,,,,,,,parents; students,for reopening high school for in-person classes during coronavirus pandemic,0,rally,,,,,1,1,https://kstp.com/coronavirus/minnetonka-students-parents-rally-in-hopes-to-open-the-high-school-for-in-person-classes/5881318/,,,,
New York,Foley Square,,NY,US,2020-10-01,hundreds of protesters,200,,200,,,Housing Justice for All; Right to Counsel NYC Coalition,"against evictions during coronavirus pandemic, for housing homeless people",0,march,16,,,,1,1,https://gothamist.com/news/16-arrested-during-protest-demanding-state-lawmakers-do-more-stop-evictions-and-protect-tenants,https://nypost.com/2020/10/01/protesters-demanding-eviction-protection-gather-by-nyc-city-hall/,https://news.yahoo.com/nypd-detain-protesters-during-anti-222119949.html,,
New York,Civil Court of the City of New York-Kings County,,NY,US,2020-10-01,,,,,,,general protesters,"for extension of eviction moratorium during coronavirus pandemic, for public housing, for cancelling rent",0,protest,,,,,0,1,https://twitter.com/emma_a_whitford/status/1311643205520293889,,,,
New York,"PS 128, Middle Village, Queens",,NY,US,2020-10-01,approximately three dozen parents,36,,36,,,parents,for live instruction during remote schooling due to coronavirus,0,protest,,,,,0,1,https://www.amny.com/education-2/queens-parents-protest-outside-of-middle-village-school-over-lack-of-live-instruction-for-blended-learning-students/,https://qns.com/2020/10/middle-village-parents-protest-outside-of-p-s-128q/,,,
Park Ridge,,,IL,US,2020-10-01,,,,,,,general protesters,for resumption of in-person schooling during coronavirus pandemic,0,rally,,,,,1,1,https://www.chicagotribune.com/suburbs/park-ridge/ct-prh-open-school-rally-tl-1001-20200929-smnr2p3fbzcl3d364nev5ugy5u-story.html,,,,
Parkersburg,"Kroger, 930 Division St",,WV,US,2020-10-01,,,,,,,UFCW Local 400,for better wages and healthcare and safer workplace conditions during coronavirus pandemic for Kroger grocery store workers in West Virginia,0,car caravan,,,,,1,1,https://wvva.com/2020/10/01/local-kroger-workers-protesting-today/,,,,
Pawleys Island,Pawleys Island Town Hall,,SC,US,2020-10-01,more than a dozen supporters,12,,12,,,NAACP of Georgetown,"against racism, for resignation of mayor",1,demonstration,,,,,1,1,https://www.postandcourier.com/georgetown/news/naacp-protests-will-continue-until-pawleys-island-mayor-brian-henry-resigns/article_b9c303ee-0422-11eb-9e25-9f71d0cc1426.html,,,,
Pflugerville,,,TX,US,2020-10-01,,,,,,,Pflugerville Education Association,for transparency in school board communication during coronavirus pandemic,0,rally,,,,,1,1,https://www.kxan.com/news/education/pflugerville-isd-teachers-rally-for-transparency-free-speech-amid-rumors-of-covid-19-outbreaks-within-district/,,,,
Philadelphia,Malcolm X Park,,PA,US,2020-10-01,FB: 201,201,,201,,,Party for Socialism and Liberation-Philly,"against racism, against police violence, for justice for Breonna Taylor",1,vigil,,,,,1,1,https://www.facebook.com/events/1316686775344391/,,,,
Philadelphia,"Germantown Ave, Mount Airy",,PA,US,2020-10-01,,,,,,,general protesters,"against racism, against police violence",1,march,,,,,0,1,https://www.phillytrib.com/race-discussions-spur-march-by-mt-airy-residents/article_7b19521e-3104-50b6-8f74-ebe4dfff9166.html,,,,
Pittsburgh,Mellon Green,,PA,US,2020-10-01,,,,,,,Put People First-PA; Thomas Merton Center; Green Party of Allegheny County,"for hazard pay and workplace safety for healthcare workers during coronavirus pandemic, against tax breaks for University of Pittsburgh Medical Center, for expansion of medicaid, for a state public healthcare advocate",1,march,,,,,1,1,https://www.wesa.fm/post/demonstrators-march-downtown-calling-medicaid-all-taxes-upmc#stream/0,https://www.facebook.com/events/310722463525022/,,Medicaid March,
Portland,Coe Circle,,OR,US,2020-10-01,,,,,,,Shift 2 Bikes,against rush to fill vacant Supreme Court seat,1,naked bike ride,,,,,1,1,https://komonews.com/news/nation-world/naked-bike-ride-will-pedal-through-portland-to-protest-senates-rush-to-replace-ginsberg-1,,,,
Pottstown,High St and North Hanover St,,PA,US,2020-10-01,,,,,,,parents; student athletes,against cancellation of fall school sports season in Pottstown School District due to coronavirus,0,protest,,,,,1,1,https://www.wfmz.com/news/area/southeastern-pa/parents-student-athletes-in-pottstown-protest-school-boards-decision-regarding-fall-sports/article_72e9ff38-042a-11eb-8415-735da8cd5f96.html,,,Let Them Play,
Providence,Hope High School to Providence Place Mall,,RI,US,2020-10-01,just under 50 people,50,,50,,,general protesters,"against racism, for community",1,march,,,,,1,1,https://upriseri.com/2020-10-01-just-because/,,,,
Reading,Berks County Services Center,,PA,US,2020-10-01,,,,,,,"Amalgamated Transit Union, Local 1345",for hazard pay for BARTA and Red Rose bus drivers during coronavirus pandemic,0,rally,,,,,1,1,https://www.masstransitmag.com/management/news/21156899/pa-barta-red-rose-transit-workers-rally-outside-berks-county-services-center-for-hazard-pay,,,,
Rochester,99 Exchange Blvd,,NY,US,2020-10-01,,,,,,,general protesters,for extension of eviction moratorium during coronavirus pandemic,0,protest,,,,,1,1,https://twitter.com/housing4allNY/status/1311648061660200961,,,,
Rothschild,,,WI,US,2020-10-01,over 100 people,100,,100,,,general protesters,for President Trump,2,rally,,,,,1,1,https://waow.com/2020/10/02/covid-19-exposure-concerns-following-eric-trump-rally-in-rothschild/,,,Feat. Eric Trump,
Sacramento,1515 S Street,,CA,US,2020-10-01,,,,,,,Stop San Quentin Outbreak; Sistas' with Voices; No Justice Under Capitalism,protest racist legal system,1,protest,,,,,1,1,https://www.instagram.com/p/CFuw7RGhuqx/,,,,
San Francisco,Esprit Park,,CA,US,2020-10-01,about 30,30,,30,,,Riverside Faculty Association; UC Cops off Campus Coalition,remove police from UC campus; protest research at Genentech,1,protest,0,0,0,0,1,1,https://www.instagram.com/p/CFtG2RMhz-d/,"https://www.highlandernews.org/75168/faculty-and-students-participate-in-statewide-day-of-action-to-remove-police-from-uc-campuses/#:~:text=On%20Thursday%2C%20Oct.%201%2C%20UCR%20students%20and%20faculty,from%20all%20UC%20campuses%20by%20Sept.%201%2C%202021.",,,
San Luis Obispo,SLO County Courthouse,,CA,US,2020-10-01,,,,,,,Abolitionist Action Central Coast SLO,"against racism, for abolishing police, for abolishing carceral system",1,teach-in; rally,,,,,1,1,https://mustangnews.net/abolitionist-action-central-coast-slo-to-hold-rally-in-support-off-copsoffcampus-movement-and-ras/,https://keyt.com/news/san-luis-obispo-county/2020/10/01/naacp-holds-final-rally-in-san-luis-obispo-encourages-community-to-vote/,https://www.ksby.com/news/local-news/interfaith-action-rally-hosted-in-downtown-san-luis-obispo,,
San Marcos,Texas State University to Hays County Historic Courthouse,,TX,US,2020-10-01,,,,,,,general protesters,"against racism, for defunding university police, for justice for Breonna Taylor",1,march,,,,,1,1,https://www.universitystar.com/black-lives-matter-protesters-march-on-campus-call-for-local-support/article_b6157fd8-050d-11eb-890e-13a987c49c04.html,,,,
Shakopee,Amazon Fulfillment - MSP1,,WI,US,2020-10-01,more than 35 warehouse workers,35,,35,,,workers,against firing of co-worker who raised concerns about workplace safety during coronavirus pandemic,0,walkout,,,,,1,1,https://www.vice.com/en/article/xg8nvq/amazon-warehouse-workers-in-minnesota-walk-off-the-job-protest-alleged-retaliation,,,,
Spartanburg,Wofford University,,SC,US,2020-10-01,"dozens, if not hundreds of students and supporters",24,,200,,,general protesters,"against racism, against police violence, for additional anti-racism measures at Wofford University",1,march,,,,,1,1,https://www.wspa.com/news/peaceful-protest-on-woffords-campus-addresses-racial-equity-and-demands-justice/,,,,
Tehachapi,Tehachapi High School,,CA,US,2020-10-01,more than 100 TUSD students,100,,100,,,students,against Gov. Newsome's decision to continue remote schooling during coronavirus pandemic at least until Dec. 18,0,sit-in,,,,,1,1,https://www.bakersfield.com/news/from-honor-roll-to-flunking-tehachapi-families-protest-virtual-learning/article_c82b34de-043a-11eb-9f44-831f4179ad84.html,,,,
Washington,U.S. Supreme Court,,DC,US,2020-10-01,count video,4,,4,,,general protesters,against confirmation of Amy Coney Barrett to U.S. Supreme Court,1,demonstration,,,,,1,1,https://twitter.com/FordFischer/status/1311716371575853064,,,Feat. women in handmaid costumes,
Westwood,from Westwood to UCLA UCPD,,CA,US,2020-10-01,dozens,24,,24,,,UC Cops off Campus,remove police from UC campus,1,march,0,0,0,0,1,1,https://dailybruin.com/2020/10/01/protesters-march-down-westwood-boulevard-call-for-removal-of-police-from-campuses,,,,
Wilmington,Banning Regional Park,,DE,US,2020-10-01,,,,,,,general protesters,"against Joe Biden, against abortion rights",2,demonstration,,,,,1,1,https://www.delawareonline.com/story/news/2020/10/01/anti-abortion-protesters-wilmington/5878145002/,,,,
Appleton,Lawrence University,,WI,US,2020-10-02,about 100 people,100,,100,,,students,"against racism, for LGBTQ+ rights, for more support for marginalized students at Lawrence University",0,demonstration,,,,,1,1,http://www.lawrentian.com/archives/1016839,,,,
Athens,Milledge Ave,,GA,US,2020-10-02,more than 100 UGA students,100,,100,,,students,"against racism, for defunding police, for abolishing Greek system at University of Georgia, for justice for Breonna Taylor",1,march; car caravan,,,,,1,1,https://www.onlineathens.com/photogallery/GA/20201003/PHOTOGALLERY/100309998/PH/1,https://www.redandblack.com/multimedia/photos-athens-black-lives-matter-protest-marches-down-milledge/collection_f5db49ac-0537-11eb-9d13-fb06bb1a9723.html,https://flagpole.com/news/city-dope/2020/10/07/several-black-lives-matter-protesters-ticketed-in-march-down-milledge/,,
Atlanta,Buckhead Crossing to Peachtree and 10th St,,GA,US,2020-10-02,about a dozen Black Lives Matter Protesters,12,,12,,,Cruise for a Cause,"against racism, against police violence, for justice for Breonna Taylor",1,car caravan,,,,,1,1,https://www.reporternewspapers.net/2020/10/03/photos-small-car-parade-in-buckhead-protests-breonna-taylor-killing/,,,,
Barre,Stone Cutter's Park,,VT,US,2020-10-02,,,,,,,Vermont Workers' Center; Nonviolent Medicaid Army,"for expansion of Medicaid to all Vermont residents, for termination of state contract with OneCare Vermont",1,picket,,,,,1,1,https://www.workerscenter.org/news/oct-2-3-medicaid-march-in-barre-bellows-falls-burlington-and-st-johnsbury,https://www.wcax.com/2020/10/02/vermont-workers-center-plans-medicaid-pickets-this-weekend/,,,
Boston,Massachusetts State House to Boston Common,,MA,US,2020-10-02,a few hundred organizers,300,,300,,,general protesters,against Azerbaijan aggression in Nagorny Karabakh,0,march,,,,,1,1,https://berkeleybeacon.com/armenian-community-protests-azerbaijani-aggression-in-march-through-common/,,,,
Boston,Theatre District,,MA,US,2020-10-02,more than 100 Boston-area theater employees,100,,100,,,theater employees,for extension of unemployment benefits during coronavirus pandemic,0,march,,,,,1,1,https://www.bostonglobe.com/2020/10/02/arts/i-dont-want-be-abandoned-live-events-workers-march-extended-unemployment-assistance/,,,,
Bourne,Bourne Bridge,,MA,US,2020-10-02,a dozen or so Cape Codders,12,,12,,,United Cape Patriots,"for President Trump, for Blue Lives Matter",2,demonstration,,,,,1,1,https://www.capecodtimes.com/news/20201002/bourne-demonstrators-rally-behind-ailing-president-first-lady,,,,
Bozeman,Gallatin City-County Health Department,,MT,US,2020-10-02,about 20 protesters,20,,20,,,general protesters,against mask mandate during coronavirus pandemic,0,protest,,,,,1,1,https://nbcmontana.com/news/local/health-department-not-phased-after-anti-mask-protest-bozeman,,,,
Burlington,"UVM Health Network Executive HQ, 462 Shelburne Rd",,VT,US,2020-10-02,,,,,,,Vermont Workers' Center; Nonviolent Medicaid Army,"for expansion of Medicaid to all Vermont residents, for termination of state contract with OneCare Vermont",1,picket,,,,,1,1,https://www.workerscenter.org/news/oct-2-3-medicaid-march-in-barre-bellows-falls-burlington-and-st-johnsbury,https://www.wcax.com/2020/10/02/vermont-workers-center-plans-medicaid-pickets-this-weekend/,,,
Charlotte,First Ward Park,,NC,US,2020-10-02,,,,,,,general protesters,"against racism, against police violence, for justice for Harold Easter",1,protest; march,,,,,1,1,https://www.wbtv.com/2020/10/02/you-murdered-my-son-harold-easters-family-joins-rally-after-cmpd-releases-video-moments-leading-in-custody-death/,https://twitter.com/PaigePauroso/status/1312190926899437568,,,
Cleveland,Cuyahoga County Justice Center,,OH,US,2020-10-02,count pic,8,,10,,,Ensuring Parole for Incarcerated Citizens,against wrongful convictions,0,rally,,,,,1,1,https://www.cleveland.com/court-justice/2020/10/cleveland-area-exonerees-rally-outside-justice-center-on-wrongful-conviction-day.html,,,,
Dallas,Dallas City Hall,,TX,US,2020-10-02,FB: 242,242,,242,,,Keep Dallas Safe,"against defunding police, against civil unrest",2,rally,,,,,1,1,https://www.facebook.com/events/1760396047468783/,,,Keep Dallas Safe,
Davenport,,,IA,US,2020-10-02,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.kwqc.com/2020/10/03/trump-rally-held-in-davenport/,,,,
Decatur,Macon County Courthouse,,IL,US,2020-10-02,more than 30 demonstrators,30,,30,,,general protesters,"for nonviolence, for unity",0,silent march,,,,,1,1,https://www.wcia.com/news/local-news/former-congressmen-leads-silent-march-for-nonviolence/,https://herald-review.com/news/local/watch-now-former-rep-poshard-holds-march-for-unity-in-macon-county/article_c1afa248-38c4-57ba-ab06-c82011c36828.html,,,
Detroit,,,MI,US,2020-10-02,,,,,,,bus drivers,for better workplace protections for bus drivers against COVID-19,0,work stoppage,,,,,1,1,https://www.freep.com/story/news/local/michigan/detroit/2020/10/02/ddot-detroit-bus-shutdown-drivers-service-work-stoppage/5892655002/,,,,
Duluth,outside mayor's house,,MN,US,2020-10-02,20 or more trucks,20,,20,,,general protesters,for President Trump,2,truck parade,,,,,1,1,http://www.citypages.com/news/trump-truck-parade-circled-duluth-mayors-house/572643961,,,,
Elgin,Southside Market & BBQ,,TX,US,2020-10-02,a total of 72 participants,72,,72,,,Republicans,for President Trump,2,rally,,,,,1,1,https://www.elgincourier.com/article/news/trump-supporters-rally-southside,,,,
Elon,Elon University,,NC,US,2020-10-02,"hundreds of Elon University students, faculty and staff",200,,200,,,general protesters,"against racism, for terminating mutual aid agreement between university and local police, for closure of campus street to public",1,march,,,,,1,1,https://www.elonnewsnetwork.com/article/2020/10/elon-students-march-against-hate,https://www.thetimesnews.com/story/news/2020/10/03/student-activists-hold-march-reclaim-elons-streets/3607675001/,,,
Fair Oaks,outside Governor Newsome's home,,CA,US,2020-10-02,,,,,,,general protesters,"against racism, against police violence, for justice for Sean Monterrosa",0,demonstration,17,,,,0,1,https://www.kqed.org/news/11840943/monterrosa-sisters-arrested-protesting-outside-newsoms-home,https://twitter.com/terisasiagatonu/status/1312166317055602689,https://sacramento.cbslocal.com/2020/10/03/group-protests-at-newsoms-fair-oaks-home-over-police-killing-of-sean-monterrosa-in-vallejo-17-arrested/,,
Hauppauge,,,NY,US,2020-10-02,,,,,,,catering hall owners; employees,for relaxing restrictions on gathering size during coronavirus pandemic,0,protest,,,,,1,1,https://www.newsday.com/long-island/suffolk/catering-hall-capacity-pandemic-1.49964014,,,,
Hudson,West Church St and Main St,,MI,US,2020-10-02,approximately 20 people,20,,20,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.lenconnect.com/news/20201006/trump-supporters-rally-in-hudson-on-day-president-is-hospitalized,,,,
Huntsville,Huntsville City Hall,,AL,US,2020-10-02,FB: 16,16,,16,,,Underground Protest,"against racism, against police violence, for justice for Dana Fletcher",1,demonstration,,,,,1,1,https://www.facebook.com/events/359038361798368/,,,,
Kansas City,Kansas City Police Department to City Hall Plaza,,MO,US,2020-10-02,about 100 protesters,100,,100,,,general protesters,"against racism, for defunding police, for firing Kansas City police Chief Rick Smith",1,protest; march; occupation,,,,,1,1,https://fox4kc.com/news/protesters-occupy-city-hall-plaza-saying-they-wont-leave-until-kansas-city-police-chief-resigns/,https://hayspost.com/posts/90d4d90f-d684-4e8b-a0f9-88b4e231fe86,https://www.kshb.com/news/local-news/protesters-begin-indefinite-occupation-of-kc-city-hall,Protestors to stay outside city hall indefinitely,
Kapa'a,,,HI,US,2020-10-02,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.thegardenisland.com/2020/10/05/hawaii-news/pro-trump-rally-infiltrated/,,,,
Kapa'a,,,HI,US,2020-10-02,,2,,2,,,general protesters,"against President Trump, against racism",1,counter-protest,,,,,0,1,https://www.thegardenisland.com/2020/10/05/hawaii-news/pro-trump-rally-infiltrated/,,,,
